   n, x, y, z
  306, -4, 3, 7
  307, 3, 4, 6
  308, -3, -2, 7
  309, -32, -26, 37
  310, , , 
  311, , , 
  313, -36, -28, 41
  314, 4, 5, 5
  315, -3, -1, 7
  316, -3, 0, 7
  317, -3, 1, 7
  319, , , 
  320, , , 
  322, -7, -4, 9
  323, -6, 3, 8
  324, -3, 2, 7
  325, -59, -41, 65
  326, -23, -11, 24
  327, -2, -2, 7
  328, , , 
  329, , , 
  330, -10, -1, 11
  331, -10, 0, 11
  332, -10, 1, 11
  333, -2, 5, 6
  334, -2, -1, 7
  335, -2, 0, 7
  336, -2, 1, 7
  337, , , 
  338, , , 
  339, -10, 2, 11
  340, -1, 5, 6
  341, 0, 5, 6
  342, 1, 5, 6
  343, 0, 0, 7
  344, 4, 4, 6
  345, 1, 1, 7
  346, , , 
  347, , , 
  348, -1057, 656, 965
  349, 2, 5, 6
  350, -1, 2, 7
  351, 0, 2, 7
  352, 1, 2, 7
  353, -479, -243, 499
  354, -11, -8, 13
  355, , , 
  356, , , 
  357, -5710, 1757, 5654
  358, -10, 3, 11
  359, 2, 2, 7
  360, -6, 4, 8
  361, -78, 33, 76
  362, -2, 3, 7
  363, -8, -5, 10
  364, , , 
  365, , , 
  368, 3, 5, 6
  369, -1, 3, 7
  370, 0, 3, 7
  371, 1, 3, 7
  372, -47, 19, 46
  373, , , 
  374, , , 
  375, 5, 5, 5
  376, -16, 12, 14
  377, -24, -15, 26
  378, 2, 3, 7
  379, -5, -2, 8
  380, -3, 4, 7
  381, -59, 22, 58
  382, , , 
  383, , , 
  384, -4, -4, 8
  385, -7, 6, 8
  386, -5, -1, 8
  387, -5, 0, 8
  388, -5, 1, 8
  389, -11, -2, 12
  391, , , 
  392, , , 
  393, -97, 77, 77
  394, -7, 2, 9
  395, -5, 2, 8
  396, -9, 5, 10
  397, 3, 3, 7
  398, -11, 9, 10
  399, -2, 4, 7
  400, , , 
  401, , , 
  402, -49915, 37685, 41378
  403, -156, -85, 164
  404, -4, 5, 7
  405, 4, 5, 6
  406, -1, 4, 7
  407, 0, 4, 7
  408, 1, 4, 7
  409, , , 
  410, , , 
  411, -46, 35, 38
  412, -18, 11, 17
  413, -7, 3, 9
  414, -5, 3, 8
  415, 2, 4, 7
  416, -390, -383, 487
  417, -506, 145, 502
  418, , , 
  419, , , 
  421, -6, 5, 8
  422, -13, -5, 14
  423, -26, 18, 23
  424, -2, 6, 6
  425, -32, -14, 33
  426, -95, -38, 97
  427, , , 
  428, , , 
  429, -307, 182, 284
  430, -31, 18, 29
  431, -1, 6, 6
  432, 0, 6, 6
  433, 1, 6, 6
  434, 3, 4, 7
  436, , , 
  437, , , 
  438, -130, -37, 131
  440, 2, 6, 6
  441, -3, 5, 7
  442, -12, -3, 13
  443, -77, -26, 78
  445, , , 
  446, , , 
  447, -4, -1, 8
  448, -4, 0, 8
  449, -4, 1, 8
  450, -7, 4, 9
  451, -5, 4, 8
  453, -14, 10, 13
  454, , , 
  455, , , 
  456, -4, 2, 8
  457, -70, -31, 72
  458, -3, -3, 8
  459, 3, 6, 6
  460, -2, 5, 7
  461, -8, -3, 10
  463, , , 
  464, , , 
  465, -13, 11, 11
  466, 5, 5, 6
  467, -1, 5, 7
  468, 0, 5, 7
  469, 1, 5, 7
  470, -6, 7, 7
  471, 4, 4, 7
  472, , , 
  473, , , 
  474, -16, -7, 17
  475, -4, 3, 8
  476, 2, 5, 7
  477, -3, -2, 8
  479, -5, -5, 9
  480, -8, -2, 10
  481, , , 
  482, , , 
  483, -13, -4, 14
  484, -3, -1, 8
  485, -3, 0, 8
  486, -3, 1, 8
  487, -9, 6, 10
  488, -8, 0, 10
  489, -8, 1, 10
  490, , , 
  491, , , 
  492, -49, -19, 50
