# List of solutions for: n = x³ + y³ + z³  with n=[0..10000] and negative z
7488 = 40³ + 26³ - 42³
9595 = 40³ + 27³ - 42³
6445 = 40³ + 28³ - 43³
8882 = 40³ + 29³ - 43³
5816 = 40³ + 30³ - 44³
8607 = 40³ + 31³ - 44³
5643 = 40³ + 32³ - 45³
5968 = 40³ + 34³ - 46³
9539 = 40³ + 35³ - 46³
6833 = 40³ + 36³ - 47³
4061 = 40³ + 37³ - 48³
8280 = 40³ + 38³ - 48³
5670 = 40³ + 39³ - 49³
5481 = 41³ + 22³ - 42³
7000 = 41³ + 23³ - 42³
8657 = 41³ + 24³ - 42³
5039 = 41³ + 25³ - 43³
6990 = 41³ + 26³ - 43³
9097 = 41³ + 27³ - 43³
5689 = 41³ + 28³ - 44³
8126 = 41³ + 29³ - 44³
4796 = 41³ + 30³ - 45³
7587 = 41³ + 31³ - 45³
4353 = 41³ + 32³ - 46³
7522 = 41³ + 33³ - 46³
4402 = 41³ + 34³ - 47³
7973 = 41³ + 35³ - 47³
4985 = 41³ + 36³ - 48³
8982 = 41³ + 37³ - 48³
6144 = 41³ + 38³ - 49³
3240 = 41³ + 39³ - 50³
7921 = 41³ + 40³ - 50³
5229 = 42³ + 22³ - 43³
6748 = 42³ + 23³ - 43³
8405 = 42³ + 24³ - 43³
4529 = 42³ + 25³ - 44³
6480 = 42³ + 26³ - 44³
8587 = 42³ + 27³ - 44³
4915 = 42³ + 28³ - 45³
7352 = 42³ + 29³ - 45³
9963 = 42³ + 30³ - 45³
6543 = 42³ + 31³ - 46³
9520 = 42³ + 32³ - 46³
6202 = 42³ + 33³ - 47³
9569 = 42³ + 34³ - 47³
6371 = 42³ + 35³ - 48³
3095 = 42³ + 36³ - 49³
7092 = 42³ + 37³ - 49³
3960 = 42³ + 38³ - 50³
8407 = 42³ + 39³ - 50³
5437 = 42³ + 40³ - 51³
2401 = 42³ + 41³ - 52³
4971 = 43³ + 22³ - 44³
6490 = 43³ + 23³ - 44³
8147 = 43³ + 24³ - 44³
9948 = 43³ + 25³ - 44³
5958 = 43³ + 26³ - 45³
4123 = 43³ + 28³ - 46³
6560 = 43³ + 29³ - 46³
9171 = 43³ + 30³ - 46³
5475 = 43³ + 31³ - 47³
8452 = 43³ + 32³ - 47³
4852 = 43³ + 33³ - 48³
8219 = 43³ + 34³ - 48³
4733 = 43³ + 35³ - 49³
5160 = 43³ + 37³ - 50³
9379 = 43³ + 38³ - 50³
6175 = 43³ + 39³ - 51³
2899 = 43³ + 40³ - 52³
7820 = 43³ + 41³ - 52³
4718 = 43³ + 42³ - 53³
4707 = 44³ + 22³ - 45³
6226 = 44³ + 23³ - 45³
7883 = 44³ + 24³ - 45³
9684 = 44³ + 25³ - 45³
5424 = 44³ + 26³ - 46³
7531 = 44³ + 27³ - 46³
9800 = 44³ + 28³ - 46³
